loss,Temperature_output_loss,Salinity_output_loss,Temperature_output_mean_squared_error,Temperature_output_mean_absolute_error,Salinity_output_mean_squared_error,Salinity_output_mean_absolute_error,val_loss,val_Temperature_output_loss,val_Salinity_output_loss,val_Temperature_output_mean_squared_error,val_Temperature_output_mean_absolute_error,val_Salinity_output_mean_squared_error,val_Salinity_output_mean_absolute_error
0.0921291150652707,0.03823203593492508,0.05329468101263046,0.03845030441880226,0.15538538992404938,0.05367881432175636,0.15639860928058624,0.020137613704829454,0.009802236221730709,0.010334956459701061,0.009802347049117088,0.07910235226154327,0.010335267521440983,0.083594411611557
0.008092673708968684,0.005498870741575956,0.0025706212036311626,0.005513513460755348,0.053506411612033844,0.0025791600346565247,0.03772355616092682,0.005397855560644176,0.0033988640643656254,0.001999025698751211,0.0033988216891884804,0.03954215720295906,0.0019990340806543827,0.03426429629325867
0.0037471507509229313,0.0027666788082569838,0.0009724163683131337,0.0027709747664630413,0.036095067858695984,0.0009761757683008909,0.022344036027789116,0.002881638936863225,0.002103279810398817,0.0007783813052810729,0.0021032688673585653,0.032214391976594925,0.0007783699547871947,0.02058897167444229
0.0022498423349207905,0.001975442748516798,0.0002726151142269373,0.0019762194715440273,0.029771210625767708,0.0002736226306296885,0.011819032952189445,0.00197093707231752,0.0016830445965752006,0.00028788228519260883,0.0016830635722726583,0.027422841638326645,0.0002878736413549632,0.01225658506155014
0.0018614469558081931,0.001745911198668182,0.00011449324665591121,0.001746741821989417,0.027260489761829376,0.00011470520257716998,0.007770555559545755,0.0016671340923960572,0.0014773303410038352,0.00018987672228831798,0.001477257814258337,0.024927204474806786,0.00018987605290021747,0.00994628481566906
0.0016843568998477832,0.0016001604963093996,8.322020585183054e-05,0.0016010025283321738,0.02573852799832821,8.335428719874471e-05,0.006710746791213751,0.0014475787836390381,0.0013004003558307886,0.00014723425556439906,0.0013003468047827482,0.022953122854232788,0.00014723194180987775,0.008739402517676353
0.0015390253950478866,0.0014711689436808228,6.826157914474607e-05,0.0014708596281707287,0.024435825645923615,6.816593668190762e-05,0.006055533420294523,0.0013107671646680212,0.0011810949072241783,0.0001296747213928029,0.0011810953728854656,0.022325487807393074,0.0001296718983212486,0.008195864968001842
0.0013887285154275941,0.00133223133161664,5.591196895693429e-05,0.0013327817432582378,0.02308049611747265,5.594667527475394e-05,0.005419649183750153,0.0010689961405298519,0.0009640915668569505,0.00010489224223420024,0.0009641092619858682,0.019742360338568687,0.00010488704720046371,0.007340497802942991
0.0012875874153861248,0.001233333838172257,5.3548697906080633e-05,0.0012340188259258866,0.02229698933660984,5.356855035643093e-05,0.005354951601475477,0.0009353307979404756,0.0008504459983669221,8.485471335006878e-05,0.0008504759171046317,0.018501974642276764,8.485489524900913e-05,0.006692368071526289
0.001168884260076738,0.0011196380946785212,4.888002877123654e-05,0.0011200247099623084,0.021131329238414764,4.885942689725198e-05,0.005093831568956375,0.0009411698168309847,0.000856211525388062,8.499695832142606e-05,0.0008561754948459566,0.018779275938868523,8.499432442476973e-05,0.0070473505184054375
0.001087344008110445,0.0010402703192085028,4.657308090827428e-05,0.001040747156366706,0.020242100581526756,4.659696787712164e-05,0.0049742283299565315,0.0008227862816758858,0.0007486530812457204,7.421769987558946e-05,0.0007485661190003157,0.01717820018529892,7.422024646075442e-05,0.006202267482876778
0.0010072197345746472,0.0009645638638176024,4.2280855268472806e-05,0.0009649268467910588,0.019246060401201248,4.229303158354014e-05,0.004694972187280655,0.0008052824436296666,0.0007376711582764983,6.7554232373368e-05,0.0007377290166914463,0.017129050567746162,6.755349022569135e-05,0.006026747170835733
0.000993832954440641,0.0009518284350633621,4.192547930870205e-05,0.0009519744198769331,0.019159208983182907,4.185863508610055e-05,0.004700819496065378,0.0008107768802875348,0.0007419827743433416,6.876674888189882e-05,0.0007420114707201719,0.01717441901564598,6.876547558931634e-05,0.006233436055481434
0.0009342404469396649,0.0009001725702546537,3.798801117227413e-05,0.0008963592117652297,0.018322212621569633,3.788121830439195e-05,0.004405454732477665,0.0012394154136786627,0.0011392181040719151,0.00010016679152613506,0.0011392480228096247,0.02350965328514576,0.00010016739543061703,0.007538131903856993
0.0010387153724534946,0.0009853849187493324,5.224772394285537e-05,0.0009864012245088816,0.019955690950155258,5.2314018830657005e-05,0.005443606059998274,0.0008002690747001846,0.000718600582331419,8.163270103977993e-05,0.0007186332368291914,0.01651163212954998,8.163582970155403e-05,0.00664142332971096
0.0008670166876754632,0.0008319677435792983,3.489699520287104e-05,0.0008321095374412835,0.017440278083086014,3.490704330033623e-05,0.004196356050670147,0.0007349095225171543,0.000676262192428112,5.869981396244839e-05,0.0006762098055332899,0.016038479283452034,5.869978849659674e-05,0.0055366503074765205
