loss,Temperature_output_loss,Salinity_output_loss,Temperature_output_mean_squared_error,Temperature_output_mean_absolute_error,Salinity_output_mean_squared_error,Salinity_output_mean_absolute_error,val_loss,val_Temperature_output_loss,val_Salinity_output_loss,val_Temperature_output_mean_squared_error,val_Temperature_output_mean_absolute_error,val_Salinity_output_mean_squared_error,val_Salinity_output_mean_absolute_error
0.22142836601478,0.06693875789642334,0.15305732190608978,0.0671592727303505,0.20726385712623596,0.15426908433437347,0.25246521830558777,0.040789689598978864,0.03940456360578537,0.0013856383739039302,0.03940404951572418,0.17709118127822876,0.0013856393052265048,0.030193470418453217
0.03819643458662885,0.037084195762872696,0.0010973408352583647,0.03710349276661873,0.16927172243595123,0.0010929446434602141,0.026588596403598785,0.037264348400691476,0.035577185451984406,0.001686756149865687,0.035577572882175446,0.16632193326950073,0.001686770818196237,0.03164215013384819
0.03278623939805287,0.029815029352903366,0.0028823306784033775,0.02990610897541046,0.15314437448978424,0.0028801271691918373,0.04401884227991104,0.022298906818339473,0.019881142303347588,0.002417115494608879,0.019881736487150192,0.12147904187440872,0.002417167881503701,0.03809189051389694
0.005916812461951915,0.00536276213824749,0.0005341752548702061,0.005379416514188051,0.051741015166044235,0.000537396757863462,0.016568802297115326,0.006295336858224593,0.006094228010624647,0.000201376125914976,0.006093959324061871,0.054038166999816895,0.00020137747924309224,0.011465116403996944
0.0027677628919711844,0.0026825310196727514,8.080204133875668e-05,0.002686781343072653,0.03371315449476242,8.098186663119122e-05,0.006738059222698212,0.005127416658636183,0.00502469576895237,0.00010281448339810595,0.005024595186114311,0.04817249998450279,0.00010282117000315338,0.007769375573843718
0.001838559156855539,0.0017876977799460292,4.8925718147074804e-05,0.001789586152881384,0.026871655136346817,4.8972688091453165e-05,0.005095579661428928,0.004447819913964691,0.004374702926725149,7.291447400348261e-05,0.004374914802610874,0.04424869269132614,7.290506619028747e-05,0.006315937265753746
0.0014668117697107202,0.0014263642951846123,3.9062386349542066e-05,0.0014277223963290453,0.024067450314760208,3.908935104846023e-05,0.004509663209319115,0.0032460161011799928,0.003189688315615058,5.641912139253691e-05,0.0031896033324301243,0.03740661218762398,5.641224925057031e-05,0.005318016745150089
0.0012081205543904377,0.0011739138280972838,3.330312392790802e-05,0.001174794975668192,0.021591713652014732,3.332570122438483e-05,0.004118204582482576,0.0026909331777874744,0.002637432422488928,5.365211836760864e-05,0.0026372799184173346,0.033753614872694016,5.3653358918381855e-05,0.00525077385827899
0.00109104608544318,0.0010637217201292515,2.861773464246653e-05,0.001062421128153801,0.020461078733205795,2.8625201593968086e-05,0.0037674850318580866,0.0025898044528346502,0.0025313396472483873,5.858718213858083e-05,0.0025312150828540325,0.03337855637073517,5.858934673597105e-05,0.005509687587618828
0.000968764215284903,0.0009427359909750521,2.5467223167652264e-05,0.000943284947425127,0.01904221996665001,2.5479121177340858e-05,0.003492395393550396,0.0021365658013522484,0.0020810882560908794,5.5515389249194413e-05,0.0020810666028410196,0.02990211732685566,5.549898560275324e-05,0.005129811353981495
0.0009002032520659148,0.0008769701234996319,2.2715688828611746e-05,0.0008774734451435506,0.018364479765295982,2.2729809643351473e-05,0.003250955371186137,0.0019533188640864264,0.001902781194075942,5.045610305387527e-05,0.0019028550013899803,0.028372250497341156,5.046397927799262e-05,0.004761051386594772
0.0008668460287496734,0.0008461166871711612,2.0446508642635308e-05,0.0008463878184556961,0.01811031810939312,2.0458337530726567e-05,0.0030567592475563288,0.0017774407039842896,0.0017337625613436103,4.3707183067454025e-05,0.0017337367171421647,0.02699926123023033,4.3703956180252135e-05,0.004260544199496508
0.0007597754028119283,0.0007414418505504727,1.815497307688929e-05,0.0007416143198497593,0.01650029979646206,1.8161039406550117e-05,0.002838467014953494,0.0016896722937623807,0.0016489839181303978,4.0579481719760224e-05,0.0016490910202264786,0.025977252051234245,4.058112608618103e-05,0.004027390852570534
0.0008230272824976324,0.0008044623536989093,1.7902486433740705e-05,0.0008051129989326,0.017722424119710922,1.7914129784912802e-05,0.0028291293419897556,0.0015855409346507354,0.001548204803839326,3.7329591577872634e-05,0.0015482222661376,0.025279199704527855,3.731858669198118e-05,0.0037621650844812393
0.000690826354702245,0.0006744276033714414,1.62840005941689e-05,0.0006745397113263607,0.015580087900161743,1.6286512618535198e-05,0.002658422803506255,0.0015308600388806491,0.0014946737792342901,3.62549617420882e-05,0.00149461068212986,0.024552524089813232,3.624943201430142e-05,0.0036679806653410196
0.0007067203810419284,0.000690403045155108,1.5867166439420544e-05,0.000690848974045366,0.0159953311085701,1.5871280993451364e-05,0.00262687960639596,0.0014973079063580648,0.0014616966946050525,3.551717964001e-05,0.0014617847045883536,0.024229520931839943,3.5523200494935736e-05,0.0036394319031387568
0.000699824898813044,0.0006839554407633841,1.5422670912812464e-05,0.0006843971787020564,0.01597008667886257,1.542768586659804e-05,0.0025917410384863615,0.0014519810533057862,0.001417450257577002,3.4535478334873915e-05,0.0014174665557220578,0.023788752034306526,3.451458178460598e-05,0.0035596699453890324
0.0006672803334011343,0.0006523714400827885,1.4800725693930872e-05,0.0006524766213260591,0.015445912256836891,1.4803645171923563e-05,0.002526307012885809,0.0015160011099446139,0.0014809624990448356,3.506298889988102e-05,0.0014809337444603443,0.02437436766922474,3.506742723402567e-05,0.003642509924247861
