loss,Temperature_output_loss,Salinity_output_loss,Temperature_output_mean_squared_error,Temperature_output_mean_absolute_error,Salinity_output_mean_squared_error,Salinity_output_mean_absolute_error,val_loss,val_Temperature_output_loss,val_Salinity_output_loss,val_Temperature_output_mean_squared_error,val_Temperature_output_mean_absolute_error,val_Salinity_output_mean_squared_error,val_Salinity_output_mean_absolute_error
0.11076614524324706,0.03733508288860321,0.07265542447566986,0.03756428137421608,0.14738716185092926,0.07320184260606766,0.18006440997123718,0.011405907130258417,0.007252654060721397,0.0041533177718520164,0.007252616807818413,0.06378409266471863,0.004153290763497353,0.054300468415021896
0.006687215571604134,0.0045502642169594765,0.002116949763149023,0.004563507623970509,0.04631798341870308,0.002123708138242364,0.03502121567726135,0.0035100805202500575,0.002563314512372017,0.0009465860784985125,0.0025634586345404387,0.03490447625517845,0.0009466217015869915,0.023759663105010986
0.0030409958647276973,0.002173768822103739,0.000861469772644341,0.002176910173147917,0.030428629368543625,0.000864085741341114,0.02176334522664547,0.002129437693924038,0.0017314610304310918,0.00039815454510971904,0.0017312784912064672,0.02807721681892872,0.0003981592890340835,0.015319101512432098
0.0018740802835685766,0.001581958495080471,0.000289827527012676,0.001583104720339179,0.025375669822096825,0.0002909755858127028,0.012620184570550919,0.0016303136327093656,0.0014708840753883123,0.00015950728266034275,0.001470807008445263,0.025747638195753098,0.00015950661327224225,0.009727336466312408
0.0015062852099150992,0.0013935999013483524,0.00011121098941657692,0.0013948429841548204,0.023321736603975296,0.00011144237942062318,0.00800468772649765,0.001325805872838062,0.001233623013831675,9.21643222682178e-05,0.0012336414074525237,0.023187223821878433,9.216445323545486e-05,0.007470746990293264
0.001252191327117792,0.001178263919427991,7.358044967986643e-05,0.0011786135146394372,0.02099497616291046,7.357785216299817e-05,0.006413304712623358,0.0011372866183781353,0.0010812015971168876,5.609535946859978e-05,0.0010811928659677505,0.021071400493383408,5.609369691228494e-05,0.005754690617322922
0.0012132244346397354,0.001141322311013937,7.055089372443035e-05,0.0011425745906308293,0.020760037004947662,7.064981036819518e-05,0.006306006107479334,0.0009383967978371162,0.0008898844826035202,4.8520851123612374e-05,0.0008898777305148542,0.01884961500763893,4.8519112169742584e-05,0.0052600339986383915
0.0010774131742541267,0.0010166896972805262,6.0926096921321005e-05,0.0010165561689063907,0.019421277567744255,6.0857073549414054e-05,0.005814818199723959,0.0010258514016051267,0.000971077533904463,5.475465877680108e-05,0.0009710970334708691,0.019801398739218712,5.4754338634666055e-05,0.005825601518154144
0.0009524251436989552,0.0009003499872051179,5.16824220540002e-05,0.0009007063927128911,0.01800786703824997,5.1718714530579746e-05,0.00529154809191823,0.0007753167889041478,0.000734329572878778,4.101856393390335e-05,0.0007342970930039883,0.01674441061913967,4.101975719095208e-05,0.004761588294059038
0.0009374567612511564,0.0008860726375132799,5.0704409659374505e-05,0.000886687368620187,0.01787959225475788,5.076936213299632e-05,0.0052573708817362785,0.0007379851714886018,0.0006981208571232855,3.9875649235909805e-05,0.0006981080514378846,0.016443857923150063,3.987716991105117e-05,0.004678637254983187
0.0008988972764746486,0.0008508129394613206,4.7508307034149766e-05,0.000851340708322823,0.017421796917915344,4.7556655772496015e-05,0.005072374828159809,0.0007104420520300412,0.0006728415610268712,3.760850086109713e-05,0.0006728323642164469,0.01602470688521862,3.760972322197631e-05,0.0045285914093256
0.0008713590561885934,0.0008257129811681807,4.512556188274175e-05,0.0008261741022579372,0.017117515206336975,4.51849409728311e-05,0.004939801525324583,0.0006930135448036114,0.0006598248146474361,3.321548138046637e-05,0.0006597973988391459,0.015724582597613335,3.321620533824898e-05,0.0042825439013540745
0.0008543304563544057,0.0008099483675323427,4.387634908198379e-05,0.0008103995933197439,0.01690967194736004,4.393074777908623e-05,0.00484478659927845,0.0007787400311273468,0.0007276260294020176,5.11236212332733e-05,0.0007276140968315303,0.01719152368605137,5.112595317768864e-05,0.005500762723386288
0.0008056125588424624,0.0007664806907996535,3.874222238664515e-05,0.0007668297621421516,0.016310324892401695,3.878279676428065e-05,0.004498575814068317,0.0006630561843438001,0.0006291087483987212,3.3960524888243526e-05,0.0006290963501669466,0.015424060635268688,3.3959786378545687e-05,0.004252794664353132
0.0008314689614142935,0.0007882251520641148,4.2686024244176224e-05,0.000788713397923857,0.016674086451530457,4.275548781151883e-05,0.004798624664545059,0.0006680763080255103,0.0006335268262773752,3.457528509898111e-05,0.000633503426797688,0.01576080545783043,3.4572905860841274e-05,0.0043203276582062244
0.0007866518388806092,0.0007509135757572949,3.763322456507012e-05,0.0007492805016227067,0.01611652784049511,3.7371333746705204e-05,0.004407195374369621,0.0008545926993948897,0.0007891939021646976,6.536175351357087e-05,0.0007892284193076193,0.01870712824165821,6.536421278724447e-05,0.006597280967980623
0.0007569086522371809,0.0007223737193271518,3.432128141866997e-05,0.0007225575391203165,0.01575654186308384,3.435101461946033e-05,0.0041909958235919476,0.0006257718145618457,0.0005991130601614714,2.6649384381016716e-05,0.0005991249345242977,0.014975261874496937,2.6646881451597437e-05,0.0037299576215445995
0.0008170829223666667,0.0007731963996775448,4.343868567957543e-05,0.0007735567633062601,0.016571437940001488,4.3526277295313776e-05,0.004880034364759922,0.0006938510126882313,0.0006560708279721439,3.77594587916974e-05,0.0006560925394296646,0.01628609374165535,3.775840741582215e-05,0.004641086794435978
